time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,14.7,72,4.5,2025-12-11,0,mild,13.26
2025-12-11 01:00:00,13.8,73,4.3,2025-12-11,1,mild,12.34
2025-12-11 02:00:00,13.1,74,4.4,2025-12-11,2,mild,11.62
2025-12-11 03:00:00,12.4,75,4.3,2025-12-11,3,mild,10.9
2025-12-11 04:00:00,11.8,76,4.1,2025-12-11,4,mild,10.280000000000001
2025-12-11 05:00:00,11.9,78,4.1,2025-12-11,5,mild,10.34
2025-12-11 06:00:00,11.5,78,4.3,2025-12-11,6,mild,9.94
2025-12-11 07:00:00,12.6,78,4.3,2025-12-11,7,mild,11.04
2025-12-11 08:00:00,16.9,78,2.9,2025-12-11,8,mild,15.339999999999998
2025-12-11 09:00:00,21.3,58,6.5,2025-12-11,9,warm,20.14
2025-12-11 10:00:00,23.6,50,8.0,2025-12-11,10,warm,22.6
2025-12-11 11:00:00,25.3,44,8.5,2025-12-11,11,warm,24.42
2025-12-11 12:00:00,26.3,36,9.3,2025-12-11,12,warm,25.580000000000002
2025-12-11 13:00:00,26.7,33,9.2,2025-12-11,13,warm,26.04
2025-12-11 14:00:00,26.6,32,8.4,2025-12-11,14,warm,25.96
2025-12-11 15:00:00,26.1,33,7.6,2025-12-11,15,warm,25.44
2025-12-11 16:00:00,24.7,42,4.7,2025-12-11,16,warm,23.86
2025-12-11 17:00:00,21.8,57,3.1,2025-12-11,17,warm,20.66
2025-12-11 18:00:00,19.5,62,2.8,2025-12-11,18,mild,18.26
2025-12-11 19:00:00,18.0,65,3.1,2025-12-11,19,mild,16.7
2025-12-11 20:00:00,16.9,67,3.3,2025-12-11,20,mild,15.559999999999999
2025-12-11 21:00:00,16.1,68,3.3,2025-12-11,21,mild,14.740000000000002
2025-12-11 22:00:00,15.6,67,3.7,2025-12-11,22,mild,14.26
2025-12-11 23:00:00,15.0,66,4.0,2025-12-11,23,mild,13.68
